chain,layer,address,cosmos_address,denom,amount_micro,amount_phmn,tags,relation_notes,accounting_layer,accounting_note,source_type
juno,current,juno15hycee5ppgttjt96kju83jc9hm00qh5w7el2pw,cosmos15hycee5ppgttjt96kju83jc9hm00qh5wgtu3xj,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,10000,0.010000,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno15jfj2hq3u935nxrty2a3ttxxta5ql43rnnpwxk,cosmos15jfj2hq3u935nxrty2a3ttxxta5ql43r9pz4p2,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,1351992,1.351992,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno15l3tgnaqtmentmtdq7e53hj89vsje8x58trwdk,cosmos15l3tgnaqtmentmtdq7e53hj89vsje8x53eq422,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,67466,0.067466,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno15lg37uth7wn9e80kq2h0hfkkl9p0ex54uct76m,cosmos15lg37uth7wn9e80kq2h0hfkkl9p0ex5422g9a8,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,11689,0.011689,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno15lywurjl5nvauej3vy62fxyca4wllfap2ac8j9,cosmos15lywurjl5nvauej3vy62fxyca4wllfapu0mu4e,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,1384187,1.384187,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno15mf2w7tu3kuaemh0ultksfc9kkngxka96wlf2w,cosmos15mf2w7tu3kuaemh0ultksfc9kkngxka9vuujdj,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,279186,0.279186,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno15mk5l9w02fwxrd8y7xtes7la7vh9ve3af96nru,cosmos15mk5l9w02fwxrd8y7xtes7la7vh9ve3alhegyq,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,5974934,5.974934,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno15mzzewuylf8a8y9ve2e07e5wckjq75kpwz7pal,cosmos15mzzewuylf8a8y9ve2e07e5wckjq75kpcsa66r,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,135522,0.135522,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno15n9me5yykqtedf80zsnk46lckeu07eegfrtd9j,cosmos15n9me5yykqtedf80zsnk46lckeu07eegl3gkzw,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,371946,0.371946,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno15nap2dkshu88dq7fnf8sjasr92d5f52cqmggk6,cosmos15nap2dkshu88dq7fnf8sjasr92d5f52ckftn3x,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,66674,0.066674,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno15nf66lutnk3zcldx9k7u05ew8pp5cd4q800lzt,cosmos15nf66lutnk3zcldx9k7u05ew8pp5cd4q3avy9h,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,1509750,1.509750,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno15nmtfz47pl86zeadp7r753mktr28wx8dlwykjx,cosmos15nmtfz47pl86zeadp7r753mktr28wx8dfu8d46,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,1000000,1.000000,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno15nquxhcrd29j8gzh62khx5ckyvevffcz855ll0,cosmos15nquxhcrd29j8gzh62khx5ckyvevffcz3xhycn,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,28849,0.028849,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
